gid,wardName,authoritativeCounty,authoritativeSubcounty,canonicalCountyCode,canonicalSubcountyCode,canonicalSubcountyName,prismaWardId,prismaWardName,prismaCountyId,prismaCountyName,prismaSubcountyId,prismaSubcountyName,expectedPrismaSubcountyId,expectedPrismaSubcountyName,ownership,resolutionType,note
1525,Township Ward,Machakos,Machakos Sub County,016,1605,Machakos,1053,Township Ward,50,Machakos,265,Machakos Sub County,1355,Machakos,WRONG_SUBCOUNTY,NORMALIZED,Expected Prisma SubCounty 1355 (Machakos) but found 265 (Machakos Sub County).
1526,Mumbuni North Ward,Machakos,Machakos Sub County,016,1605,Machakos,1054,Mumbuni North Ward,50,Machakos,265,Machakos Sub County,1355,Machakos,WRONG_SUBCOUNTY,NORMALIZED,Expected Prisma SubCounty 1355 (Machakos) but found 265 (Machakos Sub County).
1527,Muvuti-kiima-kimwe Ward,Machakos,Machakos Sub County,016,1605,Machakos,1055,Muvuti-kiima-kimwe Ward,50,Machakos,265,Machakos Sub County,1355,Machakos,WRONG_SUBCOUNTY,NORMALIZED,Expected Prisma SubCounty 1355 (Machakos) but found 265 (Machakos Sub County).
1528,Kola Ward,Machakos,Machakos Sub County,016,1605,Machakos,1056,Kola Ward,50,Machakos,265,Machakos Sub County,1355,Machakos,WRONG_SUBCOUNTY,NORMALIZED,Expected Prisma SubCounty 1355 (Machakos) but found 265 (Machakos Sub County).
1529,Mbiuni Ward,Machakos,Mwala Sub County,016,1608,Mwala,1057,Mbiuni Ward,50,Machakos,1358,Mwala,1358,Mwala,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1530,Makutano-mwala Ward,Machakos,Mwala Sub County,016,1608,Mwala,1058,Makutano-mwala Ward,50,Machakos,1358,Mwala,1358,Mwala,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1531,Masii Ward,Machakos,Mwala Sub County,016,1608,Mwala,1059,Masii Ward,50,Machakos,1358,Mwala,1358,Mwala,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1532,Muthetheni Ward,Machakos,Mwala Sub County,016,1608,Mwala,1060,Muthetheni Ward,50,Machakos,1358,Mwala,1358,Mwala,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1533,Wamunyu Ward,Machakos,Mwala Sub County,016,1608,Mwala,1061,Wamunyu Ward,50,Machakos,1358,Mwala,1358,Mwala,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1534,Kibauni Ward,Machakos,Mwala Sub County,016,1608,Mwala,1062,Kibauni Ward,50,Machakos,1358,Mwala,1358,Mwala,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1535,West Kasipul Ward,Homa Bay,Kasipul Sub County,,,,1063,West Kasipul Ward,51,Homa Bay,267,Kasipul Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
1536,South Kasipul Ward,Homa Bay,Kasipul Sub County,,,,1064,South Kasipul Ward,51,Homa Bay,267,Kasipul Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
1537,Central Kasipul Ward,Homa Bay,Kasipul Sub County,,,,1065,Central Kasipul Ward,51,Homa Bay,267,Kasipul Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
1538,East Kamagak Ward,Homa Bay,Kasipul Sub County,,,,1066,East Kamagak Ward,51,Homa Bay,267,Kasipul Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
1539,West Kamagak Ward,Homa Bay,Kasipul Sub County,,,,1067,West Kamagak Ward,51,Homa Bay,267,Kasipul Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
1540,Kabondo East Ward,Homa Bay,Kabondo Kasipul Sub County,,,,1068,Kabondo East Ward,51,Homa Bay,268,Kabondo Kasipul Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
1541,Kabondo West Ward,Homa Bay,Kabondo Kasipul Sub County,,,,1069,Kabondo West Ward,51,Homa Bay,268,Kabondo Kasipul Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
1542,Kokwanyo/kakelo Ward,Homa Bay,Kabondo Kasipul Sub County,,,,1070,Kokwanyo/kakelo Ward,51,Homa Bay,268,Kabondo Kasipul Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
1543,Kojwach Ward,Homa Bay,Kabondo Kasipul Sub County,,,,1071,Kojwach Ward,51,Homa Bay,268,Kabondo Kasipul Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
1544,West Karachuonyo Ward,Homa Bay,Karachuonyo Sub County,,,,1072,West Karachuonyo Ward,51,Homa Bay,269,Karachuonyo Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
1545,North Karachuonyo Ward,Homa Bay,Karachuonyo Sub County,,,,1073,North Karachuonyo Ward,51,Homa Bay,269,Karachuonyo Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
1546,Central Ward,Homa Bay,Karachuonyo Sub County,,,,1074,Central Ward,51,Homa Bay,269,Karachuonyo Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
1547,Kanyaluo Ward,Homa Bay,Karachuonyo Sub County,,,,1075,Kanyaluo Ward,51,Homa Bay,269,Karachuonyo Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
1553,Kagan Ward,Homa Bay,Rangwe Sub County,043,4306,Rangwe,1076,Kagan Ward,51,Homa Bay,1545,Rangwe,1545,Rangwe,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1554,Kochia Ward,Homa Bay,Rangwe Sub County,043,4306,Rangwe,1077,Kochia Ward,51,Homa Bay,1545,Rangwe,1545,Rangwe,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1555,Homa Bay Central Ward,Homa Bay,Homa Bay Town Sub County,,,,1078,Homa Bay Central Ward,51,Homa Bay,271,Homa Bay Town Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
1556,Homa Bay Arujo Ward,Homa Bay,Homa Bay Town Sub County,,,,1079,Homa Bay Arujo Ward,51,Homa Bay,271,Homa Bay Town Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
1558,Homa Bay East Ward,Homa Bay,Homa Bay Town Sub County,,,,1080,Homa Bay East Ward,51,Homa Bay,271,Homa Bay Town Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
1559,Kwabwai Ward,Homa Bay,Ndhiwa Sub County,043,4302,Ndhiwa,1081,Kwabwai Ward,51,Homa Bay,1541,Ndhiwa,1541,Ndhiwa,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1560,Kanyadoto Ward,Homa Bay,Ndhiwa Sub County,043,4302,Ndhiwa,1082,Kanyadoto Ward,51,Homa Bay,1541,Ndhiwa,1541,Ndhiwa,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1561,Kanyikela Ward,Homa Bay,Ndhiwa Sub County,043,4302,Ndhiwa,1083,Kanyikela Ward,51,Homa Bay,1541,Ndhiwa,1541,Ndhiwa,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1562,Kabouch North Ward,Homa Bay,Ndhiwa Sub County,043,4302,Ndhiwa,1084,Kabouch North Ward,51,Homa Bay,1541,Ndhiwa,1541,Ndhiwa,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1563,Kabuoch South/pala Ward,Homa Bay,Ndhiwa Sub County,043,4302,Ndhiwa,1085,Kabuoch South/pala Ward,51,Homa Bay,1541,Ndhiwa,1541,Ndhiwa,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1565,Kanyamwa Kosewe Ward,Homa Bay,Ndhiwa Sub County,043,4302,Ndhiwa,1086,Kanyamwa Kosewe Ward,51,Homa Bay,1541,Ndhiwa,1541,Ndhiwa,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1566,Mfangano Island Ward,Homa Bay,Mbita Sub County,,,,1087,Mfangano Island Ward,51,Homa Bay,273,Mbita Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
1567,Rusinga Island Ward,Homa Bay,Mbita Sub County,,,,1088,Rusinga Island Ward,51,Homa Bay,273,Mbita Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
1568,Kasgunga Ward,Homa Bay,Mbita Sub County,,,,1089,Kasgunga Ward,51,Homa Bay,273,Mbita Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
1579,Chavakali Ward,Vihiga,Sabatia Sub County,038,3803,Sabatia,1090,Chavakali Ward,52,Vihiga,1508,Sabatia,1508,Sabatia,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1582,Busali Ward,Vihiga,Sabatia Sub County,038,3803,Sabatia,1091,Busali Ward,52,Vihiga,1508,Sabatia,1508,Sabatia,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1583,Shiru Ward,Vihiga,Hamisi Sub County,038,3805,Hamisi,1092,Shiru Ward,52,Vihiga,1510,Hamisi,1510,Hamisi,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1584,Gisambai Ward,Vihiga,Hamisi Sub County,038,3805,Hamisi,1093,Gisambai Ward,52,Vihiga,1510,Hamisi,1510,Hamisi,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1585,Muhudu Ward,Vihiga,Hamisi Sub County,038,3805,Hamisi,1094,Muhudu Ward,52,Vihiga,1510,Hamisi,1510,Hamisi,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1586,Tambua Ward,Vihiga,Hamisi Sub County,038,3805,Hamisi,1095,Tambua Ward,52,Vihiga,1510,Hamisi,1510,Hamisi,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1587,Jepkoyai Ward,Vihiga,Hamisi Sub County,038,3805,Hamisi,1096,Jepkoyai Ward,52,Vihiga,1510,Hamisi,1510,Hamisi,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1591,Luanda South Ward,Vihiga,Luanda Sub County,038,3804,Luanda,1097,Luanda South Ward,52,Vihiga,1509,Luanda,1509,Luanda,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1593,North East Bunyore Ward,Vihiga,Emuhaya Sub County,038,3801,Emuhaya,1098,North East Bunyore Ward,52,Vihiga,1506,Emuhaya,1506,Emuhaya,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1596,Banja Ward,Vihiga,Hamisi Sub County,038,3805,Hamisi,1099,Banja Ward,52,Vihiga,1510,Hamisi,1510,Hamisi,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1597,South Maragoli Ward,Vihiga,Vihiga Sub County,038,3802,Vihiga,1100,South Maragoli Ward,52,Vihiga,1507,Vihiga,1507,Vihiga,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1598,Shamakhokho Ward,Vihiga,Hamisi Sub County,038,3805,Hamisi,1101,Shamakhokho Ward,52,Vihiga,1510,Hamisi,1510,Hamisi,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1600,Cheptais Ward,Bungoma,Cheptais Sub County,039,3906,Cheptais,1102,Cheptais Ward,53,Bungoma,279,Cheptais Sub County,1516,Cheptais,WRONG_SUBCOUNTY,NORMALIZED,Expected Prisma SubCounty 1516 (Cheptais) but found 279 (Cheptais Sub County).
1603,Kakateny Ward,Bungoma,Cheptais Sub County,039,3906,Cheptais,1103,Kakateny Ward,53,Bungoma,279,Cheptais Sub County,1516,Cheptais,WRONG_SUBCOUNTY,NORMALIZED,Expected Prisma SubCounty 1516 (Cheptais) but found 279 (Cheptais Sub County).
1604,Kaptama Ward,Bungoma,Mt Elgon Sub County,,,,1104,Kaptama Ward,53,Bungoma,280,Mt Elgon Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
1607,Malakisi/south Kulisiru Ward,Bungoma,Sirisia Sub County,,,,1105,Malakisi/south Kulisiru Ward,53,Bungoma,281,Sirisia Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
1608,Lwandanyi Ward,Bungoma,Sirisia Sub County,,,,1106,Lwandanyi Ward,53,Bungoma,281,Sirisia Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
1610,West Nalondo Ward,Bungoma,Kabuchai Sub County,,,,1107,West Nalondo Ward,53,Bungoma,282,Kabuchai Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
1612,Mukuyuni Ward,Bungoma,Kabuchai Sub County,,,,1108,Mukuyuni Ward,53,Bungoma,282,Kabuchai Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
1616,Kabula  Ward,Bungoma,Bumula Sub County,039,3901,Bumula,1109,Kabula  Ward,53,Bungoma,1511,Bumula,1511,Bumula,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1617,Kimaeti Ward,Bungoma,Bumula Sub County,039,3901,Bumula,1110,Kimaeti Ward,53,Bungoma,1511,Bumula,1511,Bumula,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1619,Siboti Ward,Bungoma,Bumula Sub County,039,3901,Bumula,1111,Siboti Ward,53,Bungoma,1511,Bumula,1511,Bumula,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1620,Bukembe West Ward,Bungoma,Kanduyi Sub County,,,,1112,Bukembe West Ward,53,Bungoma,284,Kanduyi Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
1621,Bukembe East Ward,Bungoma,Kanduyi Sub County,,,,1113,Bukembe East Ward,53,Bungoma,284,Kanduyi Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
1634,Bokoli Ward,Bungoma,Webuye West Sub County,039,3911,Webuye West,1114,Bokoli Ward,53,Bungoma,1520,Webuye West,1520,Webuye West,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1635,Kibingei Ward,Bungoma,Kimilili Sub County,039,3907,Kimilili,1115,Kibingei Ward,53,Bungoma,1517,Kimilili,1517,Kimilili,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1636,Kimilili Ward,Bungoma,Kimilili Sub County,039,3907,Kimilili,1116,Kimilili Ward,53,Bungoma,1517,Kimilili,1517,Kimilili,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1637,Maeni Ward,Bungoma,Kimilili Sub County,039,3907,Kimilili,1117,Maeni Ward,53,Bungoma,1517,Kimilili,1517,Kimilili,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1638,Kamukuywa Ward,Bungoma,Kimilili Sub County,039,3907,Kimilili,1118,Kamukuywa Ward,53,Bungoma,1517,Kimilili,1517,Kimilili,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1639,Mbakalo Ward,Bungoma,Tongaren Sub County,039,3910,Tongaren,1119,Mbakalo Ward,53,Bungoma,1519,Tongaren,1519,Tongaren,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1640,Naitiri/kabuyefwe Ward,Bungoma,Tongaren Sub County,039,3910,Tongaren,1120,Naitiri/kabuyefwe Ward,53,Bungoma,1519,Tongaren,1519,Tongaren,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1641,Milima Ward,Bungoma,Tongaren Sub County,039,3910,Tongaren,1121,Milima Ward,53,Bungoma,1519,Tongaren,1519,Tongaren,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1642,Ndalu/ Tabani Ward,Bungoma,Tongaren Sub County,039,3910,Tongaren,1122,Ndalu/ Tabani Ward,53,Bungoma,1519,Tongaren,1519,Tongaren,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1643,Tongaren Ward,Bungoma,Tongaren Sub County,039,3910,Tongaren,1123,Tongaren Ward,53,Bungoma,1519,Tongaren,1519,Tongaren,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1644,Soysambu/ Mitua Ward,Bungoma,Tongaren Sub County,039,3910,Tongaren,1124,Soysambu/ Mitua Ward,53,Bungoma,1519,Tongaren,1519,Tongaren,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1645,Mautuma Ward,Kakamega,Lugari Sub County,037,3708,Lugari,1125,Mautuma Ward,54,Kakamega,1500,Lugari,1500,Lugari,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1646,Lugari Ward,Kakamega,Lugari Sub County,037,3708,Lugari,1126,Lugari Ward,54,Kakamega,1500,Lugari,1500,Lugari,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1647,Lumakanda Ward,Kakamega,Lugari Sub County,037,3708,Lugari,1127,Lumakanda Ward,54,Kakamega,1500,Lugari,1500,Lugari,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1648,Chekalini Ward,Kakamega,Lugari Sub County,037,3708,Lugari,1128,Chekalini Ward,54,Kakamega,1500,Lugari,1500,Lugari,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1649,Chevaywa Ward,Kakamega,Lugari Sub County,037,3708,Lugari,1129,Chevaywa Ward,54,Kakamega,1500,Lugari,1500,Lugari,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1650,Lwandeti Ward,Kakamega,Lugari Sub County,037,3708,Lugari,1130,Lwandeti Ward,54,Kakamega,1500,Lugari,1500,Lugari,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1651,Likuyani Ward,Kakamega,Likuyani Sub County,037,3707,Likuyani,1131,Likuyani Ward,54,Kakamega,1499,Likuyani,1499,Likuyani,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1652,Sango Ward,Kakamega,Likuyani Sub County,037,3707,Likuyani,1132,Sango Ward,54,Kakamega,1499,Likuyani,1499,Likuyani,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1653,Kongoni Ward,Kakamega,Likuyani Sub County,037,3707,Likuyani,1133,Kongoni Ward,54,Kakamega,1499,Likuyani,1499,Likuyani,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1654,Nzoia Ward,Kakamega,Likuyani Sub County,037,3707,Likuyani,1134,Nzoia Ward,54,Kakamega,1499,Likuyani,1499,Likuyani,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1655,Sinoko Ward,Kakamega,Likuyani Sub County,037,3707,Likuyani,1135,Sinoko Ward,54,Kakamega,1499,Likuyani,1499,Likuyani,CORRECT,NORMALIZED,Prisma ward ownership matches the authoritative target.
1656,West Kabras Ward,Kakamega,Malava Sub County,,,,1136,West Kabras Ward,54,Kakamega,290,Malava Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
1657,Chemuche Ward,Kakamega,Malava Sub County,,,,1137,Chemuche Ward,54,Kakamega,290,Malava Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
1658,East Kabras Ward,Kakamega,Malava Sub County,,,,1138,East Kabras Ward,54,Kakamega,290,Malava Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
1659,Butali Chegulo Ward,Kakamega,Malava Sub County,,,,1139,Butali Chegulo Ward,54,Kakamega,290,Malava Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
1660,Manda-shivanga Ward,Kakamega,Malava Sub County,,,,1140,Manda-shivanga Ward,54,Kakamega,290,Malava Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
1661,Shirungu-mugai Ward,Kakamega,Malava Sub County,,,,1141,Shirungu-mugai Ward,54,Kakamega,290,Malava Sub County,,,TARGET_UNRESOLVED,NOT_FOUND,Authoritative subcounty could not be mapped to exactly one Prisma target.
